Course,Level,Skill,Tools,Project,Duration_Weeks,Learning_Resources
Python Developer,Beginner,"Python Basics, Variables, Loops","Python, VSCode",Simple Calculator,4,"YouTube: Programming with Mosh, W3Schools Python"
Python Developer,Intermediate,"OOP, File Handling, Modules","Python, Git",Contact Manager App,5,"Real Python, GeeksforGeeks OOP"
Python Developer,Advanced,"Flask, API Development","Flask, SQLite",Task Tracker App,6,"Flask Docs, Corey Schafer Flask Playlist"
Data Analyst,Beginner,"Excel Basics, Data Cleaning",Excel,Sales Report,4,"ExcelIsFun (YouTube), Microsoft Learn Excel"
Data Analyst,Intermediate,"Python (Pandas, NumPy)","Jupyter, Python",Data Cleaning Project,6,"Kaggle Courses, DataCamp Python"
Data Analyst,Advanced,"SQL, Power BI, Tableau","Power BI, SQL",Interactive Dashboard,6,"LearnSQL.com, Power BI Tutorials"
Data Scientist / ML Engineer,Beginner,"Python, Pandas, NumPy",Jupyter,Basic Data Exploration,4,Kaggle: Python for Data Science
Data Scientist / ML Engineer,Intermediate,"Statistics, Data Visualization","Matplotlib, Seaborn",EDA on Dataset,5,"StatQuest YouTube, Towards Data Science"
Data Scientist / ML Engineer,Advanced,"ML Algorithms, Model Training",scikit-learn,Predictive Model,8,"Andrew Ng ML (Coursera), scikit-learn Docs"
Data Scientist / ML Engineer,Expert,"Deep Learning, Model Deployment","TensorFlow, Flask",AI Web App,8,"TensorFlow Tutorials, YouTube: Krish Naik"
Web Developer,Beginner,"HTML, CSS Basics",VSCode,Portfolio Website,4,FreeCodeCamp HTML & CSS
Web Developer,Intermediate,"JavaScript, DOM Manipulation","Chrome, Git",To-do List App,5,"JavaScript30, MDN Docs"
Web Developer,Advanced,"React.js, API Integration","React, GitHub",Weather App,6,"React Docs, CodeWithHarry React"
Backend Developer,Beginner,"APIs, CRUD Basics",Flask / Express,Notes API,4,"Flask Official Docs, Node.js Crash Course"
Backend Developer,Intermediate,"Databases, ORM","SQLite, SQLAlchemy",Blog Backend,6,"SQLAlchemy Docs, W3Schools SQL"
Backend Developer,Advanced,"Auth, JWT, Deployment","Docker, Render",User Auth System,7,"Docker Docs, Render Deployment Guide"
Full Stack Developer,Beginner,"HTML, CSS, JS Basics",VSCode,Static Website,4,"FreeCodeCamp, The Odin Project"
Full Stack Developer,Intermediate,React + Flask Integration,"React, Flask",Full Stack App,6,Traversy Media Full Stack Series
Full Stack Developer,Advanced,"Auth, REST APIs, DB","MongoDB, JWT",Blog / Task Tracker,8,"MongoDB University, JWT Auth Guide"
Cloud / DevOps Engineer,Beginner,"Linux, Networking Basics","Ubuntu, CLI",Setup Local Server,4,"Linux Journey, FreeCodeCamp Linux"
Cloud / DevOps Engineer,Intermediate,Cloud Platforms,"AWS, Azure",Deploy Web App,6,"AWS Skill Builder, Azure Learn"
Cloud / DevOps Engineer,Advanced,"CI/CD, Docker, Monitoring","Jenkins, Docker",Automated Pipeline,8,"Docker Docs, Jenkins Pipeline Tutorials"
UI/UX Designer,Beginner,"Design Principles, Color Theory","Canva, Figma",Landing Page Design,3,"Figma YouTube Tutorials, Coursera UI Basics"
UI/UX Designer,Intermediate,"Wireframing, Prototyping",Figma,Mobile App Mockup,5,"DesignCourse YouTube, UX Planet"
UI/UX Designer,Advanced,"Design Systems, Usability Testing","FigJam, Maze",Portfolio UI System,6,"Figma Community, Nielsen Norman Group"
Cybersecurity Analyst,Beginner,Networking & OS Basics,Cisco Packet Tracer,Simulate Network Setup,4,"NetworkChuck YouTube, TryHackMe Intro"
Cybersecurity Analyst,Intermediate,"Ethical Hacking, Security Tools","Kali Linux, Nmap",Scan Vulnerabilities,6,"HackTheBox, OWASP Top 10"
Cybersecurity Analyst,Advanced,"Pen Testing, Cloud Security","Wireshark, Splunk",Security Audit,8,"Cybrary, Coursera Cybersecurity"
